"Story","Title","Result","Date","Stability","Duration (s)"
"Assessment1  country as INDIA","Gettingthe INDIA counry details","SUCCESS","14:13:15","0.0","3.8"
"Assessment1  country as XYZ","Gettingthe XYZ counry details","SUCCESS","14:13:24","0.0","1.28"
"Assessment2","Getting norway details","SUCCESS","14:13:25","0.0","0.95"
"Assessment3","Verifying enrollthe member","SUCCESS","14:13:27","0.0","1.12"
"Assessment4","Loggingintothe URL","SUCCESS","14:13:28","0.0","4.28"
"Retriving  student  details","Gettingall students","FAILURE","14:13:32","0.0","0.61"
